Sport,NOC,Medal,vitorias por medalha,
Football,YUG,Bronze,17,
Football,YUG,Gold,16,
Football,YUG,Silver,40,
Golf,CAN,Gold,1,
Golf,GBR,Bronze,1,
Golf,GBR,Silver,1,
Golf,USA,Bronze,3,
Golf,USA,Gold,12,
Golf,USA,Silver,12,
Gymnastics,AUS,Silver,1,
Gymnastics,BEL,Bronze,24,
Gymnastics,BEL,Silver,24,
Gymnastics,BLR,Bronze,10,
Gymnastics,BLR,Silver,8,
Gymnastics,BUL,Bronze,12,
Gymnastics,BUL,Gold,2,
Gymnastics,BUL,Silver,9,
Gymnastics,CAN,Bronze,2,
Gymnastics,CAN,Gold,2,
Gymnastics,CAN,Silver,3,
Gymnastics,CHN,Bronze,21,
Gymnastics,CHN,Gold,39,
Gymnastics,CHN,Silver,37,
Gymnastics,CRO,Silver,1,
Gymnastics,DEN,Bronze,21,
Gymnastics,DEN,Gold,24,
Gymnastics,DEN,Silver,53,
Gymnastics,ESP,Bronze,1,
Gymnastics,ESP,Gold,8,
Gymnastics,ESP,Silver,2,
Gymnastics,EUA,Bronze,6,
Gymnastics,EUA,Gold,1,
Gymnastics,EUA,Silver,1,
Gymnastics,EUN,Bronze,5,
Gymnastics,EUN,Gold,20,
Gymnastics,EUN,Silver,5,
Gymnastics,FIN,Bronze,59,
Gymnastics,FIN,Gold,15,
Gymnastics,FIN,Silver,25,
Gymnastics,FRA,Bronze,31,
Gymnastics,FRA,Gold,3,
Gymnastics,FRA,Silver,17,
Gymnastics,FRG,Bronze,2,
Gymnastics,GBR,Bronze,37,
Gymnastics,GBR,Silver,1,
Gymnastics,GDR,Bronze,52,
Gymnastics,GDR,Gold,6,
Gymnastics,GDR,Silver,28,
Gymnastics,GER,Bronze,13,
Gymnastics,GER,Gold,47,
Gymnastics,GER,Silver,8,
Gymnastics,GRE,Bronze,11,
Gymnastics,GRE,Gold,4,
Gymnastics,GRE,Silver,6,
Gymnastics,HUN,Bronze,45,
Gymnastics,HUN,Gold,19,
Gymnastics,HUN,Silver,45,
Gymnastics,ITA,Bronze,13,
Gymnastics,ITA,Gold,67,
Gymnastics,ITA,Silver,22,
Gymnastics,JPN,Bronze,53,
Gymnastics,JPN,Gold,58,
Gymnastics,JPN,Silver,41,
Gymnastics,KOR,Bronze,4,
Gymnastics,KOR,Silver,4,
Gymnastics,LAT,Gold,1,
Gymnastics,LAT,Silver,1,
Gymnastics,NED,Gold,12,
Gymnastics,NOR,Bronze,22,
Gymnastics,NOR,Gold,25,
Gymnastics,NOR,Silver,58,
Gymnastics,POL,Bronze,7,
Gymnastics,POL,Gold,1,
Gymnastics,POL,Silver,1,
Gymnastics,PRK,Gold,2,
Gymnastics,ROU,Bronze,50,
Gymnastics,ROU,Gold,39,
Gymnastics,ROU,Silver,40,
Gymnastics,RUS,Bronze,29,
Gymnastics,RUS,Gold,37,
Gymnastics,RUS,Silver,22,
Gymnastics,SUI,Bronze,20,
Gymnastics,SUI,Gold,23,
Gymnastics,SUI,Silver,40,
Gymnastics,SWE,Bronze,1,
Gymnastics,SWE,Gold,116,
Gymnastics,SWE,Silver,7,
Gymnastics,TCH,Bronze,17,
Gymnastics,TCH,Gold,19,
Gymnastics,TCH,Silver,42,
Gymnastics,UKR,Bronze,12,
Gymnastics,UKR,Gold,6,
Gymnastics,UKR,Silver,8,
Gymnastics,URS,Bronze,49,
Gymnastics,URS,Gold,142,
Gymnastics,URS,Silver,99,
Gymnastics,USA,Bronze,58,
Gymnastics,USA,Gold,46,
Gymnastics,USA,Silver,64,
Gymnastics,UZB,Bronze,2,
Gymnastics,YUG,Bronze,11,
Gymnastics,YUG,Gold,5,
Gymnastics,YUG,Silver,2,
Handball,AUT,Silver,22,
Handball,CHN,Bronze,13,
Handball,CRO,Gold,30,
Handball,DEN,Gold,46,
Handball,ESP,Bronze,45,
Handball,EUN,Bronze,13,
Handball,EUN,Gold,12,
Handball,FRA,Bronze,16,
Handball,FRA,Gold,15,
Handball,FRG,Silver,15,
Handball,GDR,Bronze,14,
Handball,GDR,Gold,14,
Handball,GDR,Silver,14,
Handball,GER,Gold,22,
Handball,GER,Silver,15,
Handball,HUN,Bronze,30,
Handball,HUN,Silver,15,
Handball,ISL,Silver,14,
Handball,KOR,Bronze,14,
Handball,KOR,Gold,25,
Handball,KOR,Silver,57,
Handball,NOR,Bronze,15,
Handball,NOR,Gold,14,
Handball,NOR,Silver,29,
Handball,POL,Bronze,14,
Handball,ROU,Bronze,44,
Handball,ROU,Silver,14,
Handball,RUS,Bronze,14,
Handball,RUS,Gold,15,
Handball,RUS,Silver,14,
Handball,SUI,Bronze,17,
Handball,SWE,Silver,47,
Handball,TCH,Silver,16,
Handball,UKR,Bronze,15,
Handball,URS,Bronze,15,
Handball,URS,Gold,56,
Handball,URS,Silver,14,
Handball,YUG,Bronze,15,
Handball,YUG,Gold,43,
Handball,YUG,Silver,14,
Hockey,ARG,Bronze,32,
Hockey,ARG,Silver,16,
Hockey,AUS,Bronze,63,
Hockey,AUS,Gold,64,
Hockey,AUS,Silver,46,
Hockey,BEL,Bronze,15,
Hockey,CHN,Silver,16,
Hockey,DEN,Silver,12,
Hockey,ESP,Bronze,14,
Hockey,ESP,Gold,16,
Hockey,ESP,Silver,48,
Hockey,EUA,Bronze,11,
Hockey,FRG,Gold,18,
Hockey,FRG,Silver,48,
Hockey,GBR,Bronze,45,
Hockey,GBR,Gold,42,
Hockey,GBR,Silver,23,
Hockey,GER,Bronze,38,
Hockey,GER,Gold,49,
Hockey,GER,Silver,38,
Hockey,IND,Bronze,29,
Hockey,IND,Gold,127,
Hockey,IND,Silver,13,
Hockey,JPN,Silver,11,
Hockey,KOR,Silver,48,
Hockey,NED,Bronze,88,
Hockey,NED,Gold,64,
Hockey,NED,Silver,64,
Hockey,NZL,Gold,16,
Hockey,PAK,Bronze,32,
Hockey,PAK,Gold,42,
Hockey,PAK,Silver,45,
Hockey,TCH,Silver,16,
Hockey,URS,Bronze,32,
Hockey,USA,Bronze,28,
Hockey,ZIM,Gold,16,
Ice Hockey,CAN,Gold,8,
Ice Hockey,TCH,Bronze,8,
Ice Hockey,USA,Silver,11,
Jeu de paume,GBR,Bronze,1,
Jeu de paume,GBR,Silver,1,
Jeu de paume,USA,Gold,1,
Judo,ALG,Bronze,1,
Judo,ALG,Silver,1,
Judo,ARG,Bronze,1,
Judo,AUS,Bronze,2,
Judo,AUT,Bronze,1,
Judo,AUT,Gold,2,
Judo,AUT,Silver,2,
Judo,AZE,Bronze,1,
Judo,AZE,Gold,1,
Judo,BEL,Bronze,7,
Judo,BEL,Gold,2,
Judo,BEL,Silver,1,
Judo,BLR,Bronze,1,
Judo,BLR,Gold,1,
Judo,BRA,Bronze,10,
Judo,BRA,Gold,2,
Judo,BRA,Silver,3,
Judo,BUL,Bronze,2,
Judo,BUL,Silver,1,
Judo,CAN,Bronze,2,
Judo,CAN,Silver,2,
Judo,CHN,Bronze,8,
Judo,CHN,Gold,8,
Judo,CHN,Silver,2,
Judo,CUB,Bronze,16,
Judo,CUB,Gold,5,
Judo,CUB,Silver,11,
Judo,EGY,Bronze,1,
Judo,EGY,Silver,1,
Judo,ESP,Bronze,2,
Judo,ESP,Gold,3,
Judo,ESP,Silver,1,
Judo,EST,Bronze,3,
Judo,EUA,Bronze,1,
Judo,EUA,Silver,1,
Judo,EUN,Bronze,2,
Judo,EUN,Gold,2,
Judo,FRA,Bronze,19,
Judo,FRA,Gold,10,
Judo,FRA,Silver,8,
Judo,FRG,Bronze,3,
Judo,FRG,Gold,1,
Judo,FRG,Silver,4,
Judo,GBR,Bronze,9,
Judo,GBR,Silver,7,
Judo,GDR,Bronze,6,
Judo,GDR,Gold,1,
Judo,GDR,Silver,2,
Judo,GEO,Bronze,2,
Judo,GEO,Gold,2,
Judo,GEO,Silver,1,
Judo,GER,Bronze,10,
Judo,GER,Gold,3,
Judo,GRE,Gold,1,
Judo,HUN,Bronze,4,
Judo,HUN,Gold,1,
Judo,HUN,Silver,2,
Judo,ISL,Bronze,1,
Judo,ISR,Bronze,2,
Judo,ISR,Silver,1,
Judo,ITA,Bronze,6,
Judo,ITA,Gold,3,
Judo,ITA,Silver,3,
Judo,JPN,Bronze,15,
Judo,JPN,Gold,35,
Judo,JPN,Silver,15,
Judo,KAZ,Silver,1,
Judo,KGZ,Bronze,1,
Judo,KOR,Bronze,14,
Judo,KOR,Gold,9,
Judo,KOR,Silver,14,
Judo,LAT,Bronze,1,
Judo,MGL,Bronze,3,
Judo,MGL,Gold,1,
Judo,MGL,Silver,1,
Judo,NED,Bronze,14,
Judo,NED,Gold,4,
Judo,NED,Silver,2,
Judo,POL,Bronze,2,
Judo,POL,Gold,3,
Judo,POL,Silver,3,
Judo,POR,Bronze,1,
Judo,PRK,Bronze,4,
Judo,PRK,Gold,1,
Judo,PRK,Silver,2,
Judo,ROU,Bronze,3,
Judo,ROU,Gold,1,
Judo,RUS,Bronze,5,
Judo,RUS,Silver,3,
Judo,SLO,Bronze,2,
Judo,SUI,Bronze,2,
Judo,SUI,Gold,1,
Judo,SUI,Silver,1,
Judo,SVK,Silver,1,
Judo,TCH,Bronze,1,
Judo,TJK,Bronze,1,
Judo,TUR,Bronze,1,
Judo,TUR,Gold,1,
Judo,UKR,Bronze,2,
Judo,UKR,Silver,1,
Judo,URS,Bronze,13,
Judo,URS,Gold,5,
Judo,URS,Silver,5,
Judo,USA,Bronze,7,
Judo,USA,Silver,3,
Judo,UZB,Bronze,1,
Judo,UZB,Silver,2,
Judo,YUG,Bronze,2,
Lacrosse,CAN,Gold,28,
Lacrosse,GBR,Silver,18,
Lacrosse,USA,Silver,13,
Modern Pentathlon,BLR,Bronze,1,
Modern Pentathlon,CZE,Bronze,1,
Modern Pentathlon,EUN,Bronze,1,
Modern Pentathlon,EUN,Silver,3,
Modern Pentathlon,FIN,Bronze,10,
Modern Pentathlon,FIN,Silver,1,
Modern Pentathlon,FRA,Bronze,6,
Modern Pentathlon,GBR,Bronze,5,
Modern Pentathlon,GBR,Gold,4,
Modern Pentathlon,GBR,Silver,1,
Modern Pentathlon,GER,Bronze,1,
Modern Pentathlon,GER,Gold,2,
Modern Pentathlon,HUN,Bronze,8,
Modern Pentathlon,HUN,Gold,17,
Modern Pentathlon,HUN,Silver,12,
Modern Pentathlon,ITA,Bronze,5,
Modern Pentathlon,ITA,Gold,4,
Modern Pentathlon,ITA,Silver,4,
Modern Pentathlon,KAZ,Gold,1,
Modern Pentathlon,LAT,Silver,1,
Modern Pentathlon,LTU,Bronze,1,
Modern Pentathlon,LTU,Silver,2,
Modern Pentathlon,POL,Gold,5,
Modern Pentathlon,RUS,Gold,3,
Modern Pentathlon,RUS,Silver,1,
Modern Pentathlon,SWE,Bronze,7,
Modern Pentathlon,SWE,Gold,9,
Modern Pentathlon,SWE,Silver,9,
Modern Pentathlon,TCH,Bronze,1,
Modern Pentathlon,TCH,Silver,3,
Modern Pentathlon,UKR,Bronze,1,
Modern Pentathlon,URS,Bronze,5,
Modern Pentathlon,URS,Gold,13,
Modern Pentathlon,URS,Silver,9,
Modern Pentathlon,USA,Bronze,5,
Modern Pentathlon,USA,Silver,12,
Polo,ARG,Gold,10,
Polo,ESP,Silver,6,
Polo,GBR,Bronze,5,
Polo,GBR,Gold,8,
Polo,GBR,Silver,12,
Polo,MEX,Bronze,4,
Polo,USA,Bronze,4,
Polo,USA,Silver,5,
Polo,ZZX,Bronze,4,
Polo,ZZX,Gold,4,
Polo,ZZX,Silver,4,
Rackets,GBR,Bronze,4,
Rackets,GBR,Gold,3,
Rackets,GBR,Silver,3,
Roque,USA,Bronze,1,
Roque,USA,Gold,1,
Roque,USA,Silver,1,
Rowing,ARG,Bronze,3,
Rowing,ARG,Gold,2,
Rowing,ARG,Silver,1,
Rowing,AUS,Bronze,61,
Rowing,AUS,Gold,21,
Rowing,AUS,Silver,40,
Rowing,AUT,Bronze,4,
Rowing,AUT,Silver,5,
Rowing,BEL,Bronze,4,
Rowing,BEL,Silver,24,
Rowing,BLR,Bronze,14,
Rowing,BLR,Gold,2,
Rowing,BLR,Silver,1,
Rowing,BUL,Bronze,16,
Rowing,BUL,Gold,5,
Rowing,BUL,Silver,13,
Rowing,CAN,Bronze,59,
Rowing,CAN,Gold,50,
Rowing,CAN,Silver,70,
Rowing,CHN,Bronze,11,
Rowing,CHN,Gold,4,
Rowing,CHN,Silver,9,
Rowing,CRO,Bronze,9,
Rowing,CRO,Silver,2,
Rowing,CZE,Silver,5,
Rowing,DEN,Bronze,34,
Rowing,DEN,Gold,24,
Rowing,DEN,Silver,8,
Rowing,ESP,Silver,2,
Rowing,EST,Silver,3,
Rowing,EUA,Bronze,2,
Rowing,EUA,Gold,22,
Rowing,EUA,Silver,14,
Rowing,EUN,Bronze,4,
Rowing,FIN,Bronze,11,
Rowing,FIN,Gold,3,
Rowing,FIN,Silver,2,
Rowing,FRA,Bronze,36,
Rowing,FRA,Gold,17,
Rowing,FRA,Silver,41,
Rowing,FRG,Bronze,19,
Rowing,FRG,Gold,27,
Rowing,FRG,Silver,4,
Rowing,GBR,Bronze,30,
Rowing,GBR,Gold,84,
Rowing,GBR,Silver,102,
Rowing,GDR,Bronze,21,
Rowing,GDR,Gold,138,
Rowing,GDR,Silver,24,
Rowing,GER,Bronze,64,
Rowing,GER,Gold,62,
Rowing,GER,Silver,37,
Rowing,GRE,Bronze,2,
Rowing,GRE,Silver,2,
Rowing,HUN,Bronze,4,
Rowing,HUN,Silver,4,
Rowing,ITA,Bronze,45,
Rowing,ITA,Gold,36,
Rowing,ITA,Silver,56,
Rowing,LTU,Bronze,2,
Rowing,NED,Bronze,43,
Rowing,NED,Gold,16,
Rowing,NED,Silver,49,
Rowing,NOR,Bronze,30,
Rowing,NOR,Gold,4,
Rowing,NOR,Silver,18,
Rowing,NZL,Bronze,26,
Rowing,NZL,Gold,23,
Rowing,NZL,Silver,6,
Rowing,POL,Bronze,27,
Rowing,POL,Gold,8,
Rowing,POL,Silver,9,
Rowing,ROU,Bronze,40,
Rowing,ROU,Gold,65,
Rowing,ROU,Silver,54,
Rowing,RSA,Bronze,2,
Rowing,RU1,Bronze,1,
Rowing,RUS,Bronze,13,
Rowing,RUS,Gold,4,
Rowing,SLO,Bronze,6,
Rowing,SLO,Gold,2,
Rowing,SLO,Silver,2,
Rowing,SUI,Bronze,24,
Rowing,SUI,Gold,19,
Rowing,SUI,Silver,27,
Rowing,SWE,Silver,10,
Rowing,TCH,Bronze,34,
Rowing,TCH,Gold,7,
Rowing,TCH,Silver,4,
Rowing,UKR,Bronze,4,
Rowing,UKR,Silver,4,
Rowing,URS,Bronze,44,
Rowing,URS,Gold,22,
Rowing,URS,Silver,86,
Rowing,URU,Bronze,5,
Rowing,URU,Silver,1,
Rowing,USA,Bronze,79,
Rowing,USA,Gold,168,
Rowing,USA,Silver,100,
Rowing,YUG,Bronze,7,
Rowing,YUG,Gold,4,
Rowing,YUG,Silver,2,
Rowing,ZZX,Gold,3,
Rugby,ANZ,Gold,15,
Rugby,FRA,Gold,17,
Rugby,FRA,Silver,46,
Rugby,GBR,Silver,30,
Rugby,GER,Silver,15,
Rugby,ROU,Bronze,23,
Rugby,USA,Gold,46,
Sailing,AHO,Silver,1,
Sailing,ARG,Bronze,7,
Sailing,ARG,Silver,11,
Sailing,AUS,Bronze,14,
Sailing,AUS,Gold,16,
Sailing,AUS,Silver,8,
Sailing,AUT,Gold,5,
Sailing,AUT,Silver,5,
Sailing,BAH,Bronze,2,
Sailing,BAH,Gold,2,
Sailing,BEL,Bronze,6,
Sailing,BEL,Gold,4,
Sailing,BEL,Silver,8,
Sailing,BRA,Bronze,14,
Sailing,BRA,Gold,10,
Sailing,BRA,Silver,6,
Sailing,CAN,Bronze,15,
Sailing,CAN,Silver,10,
Sailing,CHN,Bronze,1,
Sailing,CHN,Gold,1,
Sailing,CHN,Silver,2,
Sailing,CUB,Silver,2,
Sailing,CZE,Silver,1,
Sailing,DEN,Bronze,13,
Sailing,DEN,Gold,24,
Sailing,DEN,Silver,24,
Sailing,ESP,Bronze,1,
Sailing,ESP,Gold,20,
Sailing,ESP,Silver,8,
Sailing,EST,Bronze,7,
Sailing,EUA,Bronze,2,
Sailing,EUA,Gold,1,
Sailing,EUA,Silver,3,
Sailing,FIN,Bronze,21,
Sailing,FIN,Gold,3,
Sailing,FIN,Silver,7,
Sailing,FRA,Bronze,19,
Sailing,FRA,Gold,16,
Sailing,FRA,Silver,13,
Sailing,FRG,Bronze,6,
Sailing,FRG,Gold,4,
Sailing,FRG,Silver,4,
Sailing,GBR,Bronze,24,
Sailing,GBR,Gold,64,
Sailing,GBR,Silver,38,
Sailing,GDR,Bronze,6,
Sailing,GDR,Gold,4,
Sailing,GDR,Silver,5,
Sailing,GER,Bronze,13,
Sailing,GER,Gold,5,
Sailing,GER,Silver,9,
Sailing,GRE,Bronze,6,
Sailing,GRE,Gold,6,
Sailing,GRE,Silver,2,
Sailing,HKG,Gold,1,
Sailing,HUN,Bronze,2,
Sailing,IRL,Silver,2,
Sailing,ISR,Bronze,2,
Sailing,ISR,Gold,1,
Sailing,ISV,Silver,1,
Sailing,ITA,Bronze,13,
Sailing,ITA,Gold,9,
Sailing,ITA,Silver,4,
Sailing,JPN,Bronze,2,
Sailing,JPN,Silver,2,
Sailing,LTU,Silver,1,
Sailing,NED,Bronze,10,
Sailing,NED,Gold,7,
Sailing,NED,Silver,16,
Sailing,NOR,Bronze,7,
Sailing,NOR,Gold,81,
Sailing,NOR,Silver,41,
Sailing,NZL,Bronze,5,
Sailing,NZL,Gold,10,
Sailing,NZL,Silver,7,
Sailing,POL,Bronze,1,
Sailing,POL,Gold,1,
Sailing,POR,Bronze,4,
Sailing,POR,Silver,4,
Sailing,RU1,Bronze,7,
Sailing,RUS,Silver,3,
Sailing,SLO,Bronze,1,
Sailing,SLO,Silver,1,
Sailing,SUI,Bronze,3,
Sailing,SUI,Silver,3,
Sailing,SWE,Bronze,34,
Sailing,SWE,Gold,32,
Sailing,SWE,Silver,44,
Sailing,UKR,Bronze,4,
Sailing,UKR,Gold,2,
Sailing,UKR,Silver,5,
Sailing,URS,Bronze,4,
Sailing,URS,Gold,7,
Sailing,URS,Silver,9,
Sailing,USA,Bronze,33,
Sailing,USA,Gold,60,
Sailing,USA,Silver,46,
Shooting,ARG,Silver,1,
Shooting,AUS,Bronze,5,
Shooting,AUS,Gold,4,
Shooting,AUS,Silver,1,
Shooting,AUT,Bronze,5,
Shooting,AUT,Gold,1,
Shooting,AUT,Silver,2,
Shooting,AZE,Bronze,2,
Shooting,AZE,Gold,1,
Shooting,BEL,Bronze,3,
Shooting,BEL,Gold,1,
Shooting,BEL,Silver,11,
Shooting,BLR,Bronze,4,
Shooting,BLR,Silver,2,
Shooting,BRA,Bronze,5,
Shooting,BRA,Gold,1,
Shooting,BRA,Silver,1,
Shooting,BUL,Bronze,6,
Shooting,BUL,Gold,4,
Shooting,BUL,Silver,6,
Shooting,CAN,Bronze,7,
Shooting,CAN,Gold,4,
Shooting,CAN,Silver,13,
Shooting,CHI,Silver,1,
Shooting,CHN,Bronze,12,
Shooting,CHN,Gold,19,
Shooting,CHN,Silver,11,
Shooting,COL,Silver,2,
Shooting,CRO,Bronze,1,
Shooting,CUB,Bronze,3,
Shooting,CZE,Bronze,3,
Shooting,CZE,Gold,2,
Shooting,CZE,Silver,3,
Shooting,DEN,Bronze,10,
Shooting,DEN,Gold,7,
Shooting,DEN,Silver,9,
Shooting,ESP,Bronze,1,
Shooting,ESP,Silver,2,
Shooting,EUA,Bronze,1,
Shooting,EUA,Gold,1,
Shooting,EUN,Bronze,1,
Shooting,EUN,Gold,5,
Shooting,EUN,Silver,2,
Shooting,FIN,Bronze,26,
Shooting,FIN,Gold,4,
Shooting,FIN,Silver,11,
Shooting,FRA,Bronze,20,
Shooting,FRA,Gold,9,
Shooting,FRA,Silver,25,
Shooting,FRG,Bronze,3,
Shooting,FRG,Gold,4,
Shooting,FRG,Silver,4,
Shooting,GBR,Bronze,30,
Shooting,GBR,Gold,28,
Shooting,GBR,Silver,36,
Shooting,GDR,Bronze,5,
Shooting,GDR,Gold,3,
Shooting,GDR,Silver,8,
Shooting,GEO,Bronze,1,
Shooting,GER,Bronze,10,
Shooting,GER,Gold,7,
Shooting,GER,Silver,8,
Shooting,GRE,Bronze,3,
Shooting,GRE,Gold,3,
Shooting,GRE,Silver,8,
Shooting,HAI,Bronze,7,
Shooting,HUN,Bronze,7,
Shooting,HUN,Gold,7,
Shooting,HUN,Silver,3,
Shooting,IND,Gold,1,
Shooting,IND,Silver,1,
Shooting,IOP,Bronze,2,
Shooting,IOP,Silver,1,
Shooting,ITA,Bronze,11,
Shooting,ITA,Gold,10,
Shooting,ITA,Silver,9,
Shooting,JPN,Bronze,3,
Shooting,JPN,Gold,1,
Shooting,JPN,Silver,2,
Shooting,KAZ,Bronze,1,
Shooting,KAZ,Silver,2,
Shooting,KOR,Bronze,1,
Shooting,KOR,Gold,3,
Shooting,KOR,Silver,5,
Shooting,KUW,Bronze,1,
Shooting,LAT,Silver,1,
Shooting,LTU,Gold,1,
Shooting,MDA,Silver,1,
Shooting,MEX,Silver,1,
Shooting,MGL,Bronze,1,
Shooting,MGL,Silver,1,
Shooting,NED,Bronze,5,
Shooting,NED,Silver,1,
Shooting,NOR,Bronze,15,
Shooting,NOR,Gold,31,
Shooting,NOR,Silver,30,
Shooting,NZL,Bronze,1,
Shooting,PER,Gold,1,
Shooting,PER,Silver,2,
Shooting,POL,Bronze,5,
Shooting,POL,Gold,4,
Shooting,POL,Silver,2,
Shooting,POR,Silver,1,
Shooting,PRK,Bronze,1,
Shooting,PRK,Gold,1,
Shooting,ROU,Bronze,5,
Shooting,ROU,Gold,5,
Shooting,ROU,Silver,4,
Shooting,RSA,Silver,5,
Shooting,RU1,Bronze,1,
Shooting,RU1,Silver,4,
Shooting,RUS,Bronze,8,
Shooting,RUS,Gold,7,
Shooting,RUS,Silver,11,
Shooting,SCG,Silver,1,
Shooting,SLO,Bronze,1,
Shooting,SLO,Gold,1,
Shooting,SUI,Bronze,20,
Shooting,SUI,Gold,14,
Shooting,SUI,Silver,6,
Shooting,SVK,Bronze,2,
Shooting,SVK,Silver,1,
Shooting,SWE,Bronze,41,
Shooting,SWE,Gold,32,
Shooting,SWE,Silver,53,
Shooting,TCH,Bronze,2,
Shooting,TCH,Gold,4,
Shooting,TCH,Silver,3,
Shooting,UAE,Gold,1,
Shooting,UKR,Gold,4,
Shooting,UKR,Silver,1,
Shooting,URS,Bronze,17,
Shooting,URS,Gold,17,
Shooting,URS,Silver,15,
Shooting,USA,Bronze,37,
Shooting,USA,Gold,113,
Shooting,USA,Silver,36,
Shooting,VEN,Bronze,1,
Shooting,YUG,Bronze,2,
Shooting,YUG,Gold,3,
Shooting,YUG,Silver,1,
Skating,FIN,Gold,2,
Skating,GBR,Bronze,5,
Skating,GBR,Gold,1,
Skating,GBR,Silver,3,
Skating,GER,Bronze,1,
Skating,GER,Gold,2,
Skating,GER,Silver,1,
Skating,NOR,Bronze,1,
Skating,NOR,Silver,3,
Skating,RU1,Gold,1,
Skating,SWE,Bronze,1,
Skating,SWE,Gold,3,
Skating,SWE,Silver,2,
Skating,USA,Bronze,1,
Softball,AUS,Bronze,45,
Softball,AUS,Silver,15,
Softball,CHN,Silver,15,
Softball,JPN,Bronze,15,
Softball,JPN,Gold,15,
Softball,JPN,Silver,15,
Softball,USA,Gold,45,
Softball,USA,Silver,15,
Table Tennis,CHN,Bronze,9,
Table Tennis,CHN,Gold,33,
Table Tennis,CHN,Silver,19,
Table Tennis,DEN,Bronze,2,
Table Tennis,FRA,Bronze,2,
Table Tennis,FRA,Silver,1,
Table Tennis,GER,Bronze,1,
Table Tennis,GER,Silver,5,
Table Tennis,HKG,Silver,2,
Table Tennis,KOR,Bronze,23,
Table Tennis,KOR,Gold,4,
Table Tennis,KOR,Silver,3,
Table Tennis,PRK,Bronze,3,
Table Tennis,PRK,Silver,1,
Table Tennis,SIN,Silver,3,
Table Tennis,SWE,Bronze,1,
Table Tennis,SWE,Gold,1,
Table Tennis,SWE,Silver,1,
Table Tennis,TPE,Bronze,1,
Table Tennis,TPE,Silver,1,
Table Tennis,YUG,Bronze,2,
Table Tennis,YUG,Silver,2,
Taekwondo,AFG,Bronze,1,
Taekwondo,AUS,Gold,1,
Taekwondo,AUS,Silver,1,
Taekwondo,BRA,Bronze,1,
Taekwondo,CAN,Bronze,1,
Taekwondo,CAN,Silver,1,
Taekwondo,CHN,Bronze,1,
Taekwondo,CHN,Gold,4,
Taekwondo,CRO,Bronze,2,
Taekwondo,CUB,Bronze,1,
Taekwondo,CUB,Gold,1,
Taekwondo,CUB,Silver,2,
Taekwondo,DOM,Silver,1,
Taekwondo,EGY,Bronze,1,
Taekwondo,ESP,Silver,1,
Taekwondo,FRA,Bronze,3,
Taekwondo,FRA,Silver,1,
Taekwondo,GBR,Bronze,1,
Taekwondo,GER,Silver,1,
Taekwondo,GRE,Gold,1,
Taekwondo,GRE,Silver,3,
Taekwondo,IRI,Bronze,2,
Taekwondo,IRI,Gold,2,
Taekwondo,ITA,Silver,1,
Taekwondo,JPN,Bronze,1,
Taekwondo,KAZ,Bronze,1,
Taekwondo,KOR,Bronze,2,
Taekwondo,KOR,Gold,9,
Taekwondo,KOR,Silver,1,
Taekwondo,MEX,Bronze,2,
Taekwondo,MEX,Gold,2,
Taekwondo,MEX,Silver,1,
Taekwondo,NGR,Bronze,1,
Taekwondo,NOR,Silver,2,
Taekwondo,RUS,Silver,1,
Taekwondo,THA,Bronze,1,
Taekwondo,THA,Silver,1,
Taekwondo,TPE,Bronze,4,
Taekwondo,TPE,Gold,2,
Taekwondo,TPE,Silver,1,
Taekwondo,TUR,Bronze,2,
Taekwondo,TUR,Silver,2,
Taekwondo,USA,Bronze,2,
Taekwondo,USA,Gold,2,
Taekwondo,USA,Silver,2,
Taekwondo,VEN,Bronze,2,
Taekwondo,VIE,Silver,1,
Tennis,ANZ,Bronze,1,
Tennis,ARG,Bronze,4,
Tennis,ARG,Silver,1,
Tennis,AUS,Bronze,5,
Tennis,AUS,Gold,2,
Tennis,AUS,Silver,2,
Tennis,AUT,Silver,2,
Tennis,BEL,Bronze,2,
Tennis,BEL,Gold,1,
Tennis,BOH,Bronze,1,
Tennis,BUL,Bronze,1,
Tennis,CAN,Gold,2,
Tennis,CHI,Bronze,1,
Tennis,CHI,Gold,3,
Tennis,CHI,Silver,1,
Tennis,CHN,Bronze,2,
Tennis,CHN,Gold,2,
Tennis,CRO,Bronze,5,
Tennis,CZE,Bronze,1,
Tennis,CZE,Silver,2,
Tennis,DEN,Silver,1,
Tennis,ESP,Bronze,5,
Tennis,ESP,Gold,1,
Tennis,ESP,Silver,9,
Tennis,EUN,Bronze,3,
Tennis,FRA,Bronze,13,
Tennis,FRA,Gold,7,
Tennis,FRA,Silver,6,
Tennis,FRG,Bronze,2,
Tennis,FRG,Gold,1,
Tennis,GBR,Bronze,16,
Tennis,GBR,Gold,22,
Tennis,GBR,Silver,20,
Tennis,GER,Bronze,3,
Tennis,GER,Gold,4,
Tennis,GER,Silver,6,
Tennis,GRE,Bronze,1,
Tennis,GRE,Silver,1,
Tennis,HUN,Bronze,1,
Tennis,IND,Bronze,1,
Tennis,ITA,Bronze,1,
Tennis,JPN,Silver,3,
Tennis,NED,Bronze,2,
Tennis,NED,Silver,2,
Tennis,NOR,Bronze,1,
Tennis,RSA,Bronze,1,
Tennis,RSA,Gold,4,
Tennis,RSA,Silver,3,
Tennis,RUS,Bronze,1,
Tennis,RUS,Gold,2,
Tennis,RUS,Silver,2,
Tennis,SRB,Bronze,1,
